,brand_name,screen_size_cm,screen_size_inch,resolution,screen_type,price,ratings,no_of_ratings,reviews,launch_year
0,Foxsky,80,32,HD Ready,QLED,7499,4.2,4095,1162,2024
1,Thomson,80,32,HD Ready,LED,6999,4.1,30898,4899,2025
2,realme,109,43,Ultra HD (4K),QLED,19999,4.1,2515,279,2025
3,Infinix,80,32,HD Ready,LED,7999,4.2,58660,5830,2024
4,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
5,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
6,realme,80,32,HD Ready,QLED,9499,4.1,9053,686,2025
7,Foxsky,60,24,HD Ready,LED,5499,4.1,8820,2025,2025
8,Thomson,100,40,Full HD,LED,14499,4.3,126694,21850,2023
9,Samsung,80,32,HD Ready,LED,13990,4.3,104133,6444,2025
10,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
11,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
12,Foxsky,109,43,Full HD,LED,12499,4.1,8820,2025,2023
13,iFFALCON,80,32,HD Ready,LED,8999,4.1,2709,190,2025
14,Acer,108,43,Ultra HD (4K),LED,21999,3.9,9955,939,2024
15,XIAOMI,80,32,HD Ready,LED,11999,4.3,96782,6489,2024
16,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.5,11449,2821,2023
17,XIAOMI,108,43,Full HD,LED,21999,4.3,96782,6489,2025
18,Acer,80.01,32,HD Ready,LED,10999,3.9,9955,939,2024
19,Foxsky,80,32,HD Ready,LED,6999,4.1,8820,2025,2023
20,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
21,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.2,4095,1162,2024
22,Thomson,126,50,Ultra HD (4K),LED,23999,4.4,40692,9599,2023
23,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
24,Foxsky,80,32,HD Ready,QLED,7499,4.3,4095,1162,2024
25,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
26,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
27,Infinix,80,32,HD Ready,LED,7999,4.3,58660,5830,2024
28,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
29,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
30,realme,80,32,HD Ready,QLED,9499,4.4,9053,686,2025
31,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
32,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
33,Samsung,80,32,HD Ready,LED,13990,4.2,104133,6444,2025
34,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
35,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
36,Foxsky,109,43,Full HD,LED,12499,4.2,8820,2025,2023
37,iFFALCON,80,32,HD Ready,LED,8999,4.2,2709,190,2025
38,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
39,XIAOMI,80,32,HD Ready,LED,11999,4.2,96782,6489,2024
40,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.1,11449,2821,2023
41,XIAOMI,108,43,Full HD,LED,21999,4.1,96782,6489,2025
42,Acer,80.01,32,HD Ready,LED,10999,4.2,9955,939,2024
43,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
44,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
45,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.1,4095,1162,2024
46,Thomson,126,50,Ultra HD (4K),LED,23999,4.1,40692,9599,2023
47,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.3,2731,247,2025
48,Foxsky,80,32,HD Ready,QLED,7499,4.3,4095,1162,2024
49,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
50,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
51,Infinix,80,32,HD Ready,LED,7999,4.1,58660,5830,2024
52,InnoQ,60,24,HD Ready,LED,4990,4.1,8565,937,2024
53,Coocaa,80,32,HD Ready,LED,7999,3.9,25833,2989,2024
54,realme,80,32,HD Ready,QLED,9499,4.3,9053,686,2025
55,Foxsky,60,24,HD Ready,LED,5499,4.5,8820,2025,2025
56,Thomson,100,40,Full HD,LED,14499,4.3,126694,21850,2023
57,Samsung,80,32,HD Ready,LED,13990,3.9,104133,6444,2025
58,Coocaa,108,43,Full HD,LED,13499,4.1,25833,2989,2025
59,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
60,Foxsky,109,43,Full HD,LED,12499,4.2,8820,2025,2023
61,iFFALCON,80,32,HD Ready,LED,8999,4.4,2709,190,2025
62,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
63,XIAOMI,80,32,HD Ready,LED,11999,4.3,96782,6489,2024
64,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.2,11449,2821,2023
65,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
66,Acer,80.01,32,HD Ready,LED,10999,4.3,9955,939,2024
67,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
68,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
69,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.4,4095,1162,2024
70,Thomson,126,50,Ultra HD (4K),LED,23999,4.2,40692,9599,2023
71,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
72,Foxsky,80,32,HD Ready,QLED,7499,4.2,4095,1162,2024
73,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
74,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
75,Infinix,80,32,HD Ready,LED,7999,4.2,58660,5830,2024
76,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
77,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
78,realme,80,32,HD Ready,QLED,9499,4.2,9053,686,2025
79,Foxsky,60,24,HD Ready,LED,5499,4.1,8820,2025,2025
80,Thomson,100,40,Full HD,LED,14499,4.1,126694,21850,2023
81,Samsung,80,32,HD Ready,LED,13990,4.2,104133,6444,2025
82,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
83,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
84,Foxsky,109,43,Full HD,LED,12499,4.1,8820,2025,2023
85,iFFALCON,80,32,HD Ready,LED,8999,4.1,2709,190,2025
86,Acer,108,43,Ultra HD (4K),LED,21999,4.3,9955,939,2024
87,XIAOMI,80,32,HD Ready,LED,11999,4.3,96782,6489,2024
88,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.2,11449,2821,2023
89,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
90,Acer,80.01,32,HD Ready,LED,10999,4.1,9955,939,2024
91,Foxsky,80,32,HD Ready,LED,6999,4.1,8820,2025,2023
92,Thomson,60,24,HD Ready,QLEDQLED,5999,3.9,2629,397,2025
93,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.3,4095,1162,2024
94,Thomson,126,50,Ultra HD (4K),LED,23999,4.5,40692,9599,2023
95,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.3,2731,247,2025
96,Foxsky,80,32,HD Ready,QLED,7499,3.9,4095,1162,2024
97,Thomson,80,32,HD Ready,LED,6999,4.1,30898,4899,2025
98,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
99,Infinix,80,32,HD Ready,LED,7999,4.2,58660,5830,2024
100,InnoQ,60,24,HD Ready,LED,4990,4.4,8565,937,2024
101,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
102,realme,80,32,HD Ready,QLED,9499,4.3,9053,686,2025
103,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
104,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
105,Samsung,80,32,HD Ready,LED,13990,4.3,104133,6444,2025
106,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
107,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
108,Foxsky,109,43,Full HD,LED,12499,4.4,8820,2025,2023
109,iFFALCON,80,32,HD Ready,LED,8999,4.2,2709,190,2025
110,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
111,XIAOMI,80,32,HD Ready,LED,11999,4.2,96782,6489,2024
112,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.2,11449,2821,2023
113,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
114,Acer,80.01,32,HD Ready,LED,10999,4.2,9955,939,2024
115,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
116,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
117,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.2,4095,1162,2024
118,Thomson,126,50,Ultra HD (4K),LED,23999,4.1,40692,9599,2023
119,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.1,2731,247,2025
120,Foxsky,80,32,HD Ready,QLED,7499,4.2,4095,1162,2024
121,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
122,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
123,Infinix,80,32,HD Ready,LED,7999,4.1,58660,5830,2024
124,InnoQ,60,24,HD Ready,LED,4990,4.1,8565,937,2024
125,Coocaa,80,32,HD Ready,LED,7999,4.3,25833,2989,2024
126,realme,80,32,HD Ready,QLED,9499,4.3,9053,686,2025
127,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
128,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
129,Samsung,80,32,HD Ready,LED,13990,4.1,104133,6444,2025
130,Coocaa,108,43,Full HD,LED,13499,4.1,25833,2989,2025
131,HUIDI,60,24,HD Ready,LED,4499,3.9,8820,900,2024
132,Foxsky,109,43,Full HD,LED,12499,4.3,8820,2025,2023
133,iFFALCON,80,32,HD Ready,LED,8999,4.5,2709,190,2025
134,Acer,108,43,Ultra HD (4K),LED,21999,4.3,9955,939,2024
135,XIAOMI,80,32,HD Ready,LED,11999,3.9,96782,6489,2024
136,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.1,11449,2821,2023
137,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
138,Acer,80.01,32,HD Ready,LED,10999,4.2,9955,939,2024
139,Foxsky,80,32,HD Ready,LED,6999,4.4,8820,2025,2023
140,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
141,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.3,4095,1162,2024
142,Thomson,126,50,Ultra HD (4K),LED,23999,4.2,40692,9599,2023
143,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
144,Foxsky,80,32,HD Ready,QLED,7499,4.3,4095,1162,2024
145,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
146,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
147,Infinix,80,32,HD Ready,LED,7999,4.4,58660,5830,2024
148,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
149,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
150,realme,80,32,HD Ready,QLED,9499,4.2,9053,686,2025
151,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
152,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
153,Samsung,80,32,HD Ready,LED,13990,4.2,104133,6444,2025
154,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
155,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
156,Foxsky,109,43,Full HD,LED,12499,4.2,8820,2025,2023
157,iFFALCON,80,32,HD Ready,LED,8999,4.1,2709,190,2025
158,Acer,108,43,Ultra HD (4K),LED,21999,4.1,9955,939,2024
159,XIAOMI,80,32,HD Ready,LED,11999,4.2,96782,6489,2024
160,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.2,11449,2821,2023
161,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
162,Acer,80.01,32,HD Ready,LED,10999,4.1,9955,939,2024
163,Foxsky,80,32,HD Ready,LED,6999,4.1,8820,2025,2023
164,Thomson,60,24,HD Ready,QLEDQLED,5999,4.3,2629,397,2025
165,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.3,4095,1162,2024
166,Thomson,126,50,Ultra HD (4K),LED,23999,4.2,40692,9599,2023
167,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
168,Foxsky,80,32,HD Ready,QLED,7499,4.1,4095,1162,2024
169,Thomson,80,32,HD Ready,LED,6999,4.1,30898,4899,2025
170,realme,109,43,Ultra HD (4K),QLED,19999,3.9,2515,279,2025
171,Infinix,80,32,HD Ready,LED,7999,4.3,58660,5830,2024
172,InnoQ,60,24,HD Ready,LED,4990,4.5,8565,937,2024
173,Coocaa,80,32,HD Ready,LED,7999,4.3,25833,2989,2024
174,realme,80,32,HD Ready,QLED,9499,3.9,9053,686,2025
175,Foxsky,60,24,HD Ready,LED,5499,4.1,8820,2025,2025
176,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
177,Samsung,80,32,HD Ready,LED,13990,4.2,104133,6444,2025
178,Coocaa,108,43,Full HD,LED,13499,4.4,25833,2989,2025
179,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
180,Foxsky,109,43,Full HD,LED,12499,4.3,8820,2025,2023
181,iFFALCON,80,32,HD Ready,LED,8999,4.2,2709,190,2025
182,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
183,XIAOMI,80,32,HD Ready,LED,11999,4.3,96782,6489,2024
184,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.2,11449,2821,2023
185,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
186,Acer,80.01,32,HD Ready,LED,10999,4.4,9955,939,2024
187,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
188,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
189,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.2,4095,1162,2024
190,Thomson,126,50,Ultra HD (4K),LED,23999,4.2,40692,9599,2023
191,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
192,Foxsky,80,32,HD Ready,QLED,7499,4.2,4095,1162,2024
193,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
194,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
195,Infinix,80,32,HD Ready,LED,7999,4.2,58660,5830,2024
196,InnoQ,60,24,HD Ready,LED,4990,4.1,8565,937,2024
197,Coocaa,80,32,HD Ready,LED,7999,4.1,25833,2989,2024
198,realme,80,32,HD Ready,QLED,9499,4.2,9053,686,2025
199,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
200,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
201,Samsung,80,32,HD Ready,LED,13990,4.1,104133,6444,2025
202,Coocaa,108,43,Full HD,LED,13499,4.1,25833,2989,2025
203,HUIDI,60,24,HD Ready,LED,4499,4.3,8820,900,2024
204,Foxsky,109,43,Full HD,LED,12499,4.3,8820,2025,2023
205,iFFALCON,80,32,HD Ready,LED,8999,4.2,2709,190,2025
206,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
207,XIAOMI,80,32,HD Ready,LED,11999,4.1,96782,6489,2024
208,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.1,11449,2821,2023
209,XIAOMI,108,43,Full HD,LED,21999,3.9,96782,6489,2025
210,Acer,80.01,32,HD Ready,LED,10999,4.3,9955,939,2024
211,Foxsky,80,32,HD Ready,LED,6999,4.5,8820,2025,2023
212,Thomson,60,24,HD Ready,QLEDQLED,5999,4.3,2629,397,2025
213,Foxsky,109,43,Ultra HD (4K),QLED,16999,3.9,4095,1162,2024
214,Thomson,126,50,Ultra HD (4K),LED,23999,4.1,40692,9599,2023
215,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
216,Foxsky,80,32,HD Ready,QLED,7499,4.2,4095,1162,2024
217,Thomson,80,32,HD Ready,LED,6999,4.4,30898,4899,2025
218,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
219,Infinix,80,32,HD Ready,LED,7999,4.3,58660,5830,2024
220,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
221,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
222,realme,80,32,HD Ready,QLED,9499,4.3,9053,686,2025
223,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
224,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
225,Samsung,80,32,HD Ready,LED,13990,4.4,104133,6444,2025
226,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
227,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
